同業比較-PC週邊IC-營收分析-迅杰(6243)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="瑞昱(2379)",="台幣",="2024/10",5128.63,8947.32,13.75,-8.98,959.96,19.31,951.79,1117.90
="偉詮電(2436)",="台幣",="2024/10",1780.11,279.50,-3.20,-3.80,25.38,6.62,28.86,28.88
="義隆(2458)",="台幣",="2024/10",3038.80,1083.78,0.74,-2.79,107.44,7.18,120.59,130.30
="聯陽(3014)",="台幣",="2024/10",1660.35,592.93,20.20,-7.14,55.86,5.00,62.76,52.12
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="精拓科(4951)",="台幣",="2024/10",341.49,44.81,32.18,-0.50,4.32,26.82,4.09,5.28
="凌陽創新(5236)",="台幣",="2024/10",584.44,160.41,8.18,-13.12,14.81,9.36,16.50,15.42
="盛群(6202)",="台幣",="2024/10",2261.68,229.30,28.12,-2.83,20.39,-10.85,25.96,60.16
="迅杰(6243)",="台幣",="2024/10",452.68,70.70,5.16,11.13,6.12,-18.15,8.75,7.14
="安國(8054)",="台幣",="2024/10",977.73,158.78,8.36,7.70,16.58,13.88,19.90,16.06
="群聯(8299)",="台幣",="2024/10",2047.82,3717.03,-27.95,-16.11,500.80,33.08,482.22,602.56
