同業比較-PC遊戲-營收分析-鈊象(3293)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="泰偉(3064)",="台幣",="2024/10",130.11,9.74,45.83,-58.13,1.04,37.44,0.89,0.84
="網龍(3083)",="台幣",="2024/10",864.87,27.53,4.79,-5.61,3.77,29.95,3.44,3.66
="華義(3086)",="台幣",="2024/10",259.72,10.22,0.17,-15.15,1.24,19.51,1.41,1.47
="鈊象(3293)",="台幣",="2024/10",2818.02,1680.39,36.48,6.24,151.31,30.25,141.76,119.48
="宇峻(3546)",="台幣",="2024/10",531.16,102.91,-10.98,-9.26,11.17,1.27,13.68,15.84
="歐買尬(3687)",="台幣",="2024/10",300.60,144.46,5.39,-2.22,14.12,6.13,16.24,16.70
="辣椒(4946)",="台幣",="2024/10",68.54,4.97,133.24,207.86,0.30,13.97,0.30,1.14
="傳奇(4994)",="台幣",="2024/10",663.83,135.82,10.72,-4.89,13.68,1.84,16.24,18.60
="智崴(5263)",="台幣",="2024/10",687.00,158.61,97.99,7.42,10.42,53.36,8.54,8.01
="智冠(5478)",="台幣",="2024/10",1560.74,520.28,13.85,-12.14,57.12,10.88,62.52,60.86
="大宇資(6111)",="台幣",="2024/10",1089.76,396.34,37.45,-13.10,41.85,69.91,32.37,22.84
="昱泉(6169)",="台幣",="2024/10",233.95,1.94,-0.41,-2.26,0.20,30.25,0.19,0.04
="橘子(6180)",="台幣",="2024/10",1754.94,835.99,15.50,12.94,98.37,15.48,97.86,113.73
="弘煜科(6482)",="台幣",="2024/10",238.62,56.74,24.06,13.27,4.48,31.06,4.35,3.83
="隆中(6542)",="台幣",="2024/10",420.01,61.77,-5.34,1.45,6.80,5.73,7.74,7.81
="樂意(7584)",="台幣",="2024/10",164.63,93.01,140.89,-10.11,8.24,68.44,5.75,6.46
