同業比較-主機板-營收分析-和碩(4938)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="精英(2331)",="台幣",="2024/10",5574.02,1234.60,-2.32,-15.41,144.22,-13.52,197.42,313.47
="華碩(2357)",="台幣",="2024/10",7427.60,49931.51,18.53,-19.54,4830.96,19.50,4834.71,5371.92
="技嘉(2376)",="台幣",="2024/10",6698.88,25771.68,53.72,-3.61,2252.92,108.35,1368.95,1072.12
="微星(2377)",="台幣",="2024/10",8448.56,20066.24,4.80,1.29,1664.51,8.82,1829.65,1804.11
="映泰(2399)",="台幣",="2024/10",1781.00,123.49,-47.48,-31.40,17.70,-12.18,23.44,22.36
="承啟(2425)",="台幣",="2024/10",964.98,574.86,21.43,13.48,46.22,-15.92,68.23,61.99
="華擎(3515)",="台幣",="2024/10",1239.27,3086.41,66.74,51.11,195.32,28.24,189.92,171.21
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="捷波(6161)",="台幣",="2024/10",562.37,87.76,-19.57,-21.46,10.65,-3.38,13.31,17.79
="廣積(8050)",="台幣",="2024/10",2060.72,377.63,1.49,-9.98,41.03,-18.57,59.95,67.77
="泰金寶-DR(9105)",="台幣",="2024/10",16553.66,13705.26,7.60,-11.92,1100.82,-1.03,1346.91,1449.67
