同業比較-休閒娛樂-營收分析-易飛網(2734)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="大魯閣(1432)",="台幣",="2024/10",900.00,94.62,-15.44,-3.50,10.60,-5.17,13.18,11.04
="萬企(2701)",="台幣",="2024/10",4499.67,18.85,-18.64,-3.47,2.51,0.03,2.97,2.27
="六福(2705)",="台幣",="2024/10",1865.36,217.97,-0.44,29.59,18.41,3.87,22.12,16.70
="燦星旅(2719)",="台幣",="2024/10",689.68,168.11,37.29,19.88,19.70,126.85,10.98,0.79
="雄獅(2731)",="台幣",="2024/10",932.77,2363.99,-9.29,-10.20,237.46,31.53,216.63,33.01
="易飛網(2734)",="台幣",="2024/10",422.60,107.68,-51.32,-8.18,16.38,-8.69,21.70,4.28
="山富(2743)",="台幣",="2024/10",360.12,572.97,-23.40,15.44,58.00,43.74,50.19,5.66
="五福(2745)",="台幣",="2024/10",338.09,657.53,-1.10,7.28,64.04,57.88,49.80,2.91
="世界健身-KY(2762)",="台幣",="2024/10",1125.00,831.55,3.26,1.42,81.07,3.57,94.28,88.63
="鈺德(3050)",="台幣",="2024/10",1549.84,98.67,13.11,-12.06,10.42,8.71,11.36,11.13
="長佳(4550)",="台幣",="2024/10",378.39,82.77,-46.12,29.20,10.59,-30.53,19.09,13.55
="劍湖山(5701)",="台幣",="2024/10",1430.00,35.49,-16.82,-4.51,4.13,-8.02,5.58,4.74
="鳳凰(5706)",="台幣",="2024/10",810.81,389.78,22.81,49.09,26.81,37.88,22.03,2.02
="南仁湖(5905)",="台幣",="2024/10",2668.53,68.58,-19.18,-9.55,8.44,-6.70,10.45,9.55
="寬宏藝術(6596)",="台幣",="2024/10",380.00,90.00,-7.86,-40.13,14.64,42.70,13.44,12.83
="柏文(8462)",="台幣",="2024/10",793.42,447.63,17.78,0.43,42.12,19.29,42.96,36.06
="好樂迪(9943)",="台幣",="2024/10",1252.19,221.99,-1.06,9.52,21.79,-7.01,27.72,23.77
