同業比較-家電-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="東元(1504)",="台幣",="2024/10",21387.96,4243.66,-9.02,-2.86,459.76,-7.48,594.31,582.09
="聲寶(1604)",="台幣",="2024/10",3842.00,696.35,2.94,6.38,78.75,3.75,88.89,89.36
="中電(1611)",="台幣",="2024/10",3227.35,90.48,-20.18,4.79,9.54,-12.71,13.62,15.70
="三洋電(1614)",="台幣",="2024/10",2691.13,372.02,5.72,-18.00,47.74,-3.00,57.26,61.08
="艾美特-KY(1626)",="台幣",="2024/10",1528.21,401.32,-2.26,-27.80,70.23,-4.13,84.02,92.21
="IKKA-KY(2250)",="台幣",="2024/10",313.47,338.15,0.45,7.66,30.32,3.40,36.41,36.19
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="燦坤(2430)",="台幣",="2024/10",1168.00,1565.29,-1.81,-3.24,159.37,-5.44,199.85,222.91
="翔耀(2438)",="台幣",="2024/10",601.95,37.09,392.13,9.02,2.90,175.69,1.18,2.10
="瑞軒(2489)",="台幣",="2024/10",6800.00,1881.90,14.18,-23.55,195.35,42.04,165.72,163.77
="集雅社(2937)",="台幣",="2024/10",395.84,469.00,13.58,47.60,35.36,11.57,40.64,38.04
="憶聲(3024)",="台幣",="2024/10",2771.57,311.37,105.27,209.54,14.61,9.86,15.27,14.86
="唐鋒(4609)",="台幣",="2024/10",479.47,4.49,389.64,-81.72,1.15,87.92,0.93,1.71
="燦星網(4930)",="台幣",="2024/10",800.00,606.60,-9.18,-29.66,67.82,17.52,69.11,74.23
="湯石照明(4972)",="台幣",="2024/10",579.97,100.72,101.53,-8.45,9.87,68.60,8.12,9.14
="禾聯碩(5283)",="台幣",="2024/10",730.00,472.49,22.45,-6.27,54.46,4.58,61.92,68.40
="元山(6275)",="台幣",="2024/10",783.12,329.56,8.73,-6.56,32.46,4.23,36.33,36.38
="全國電(6281)",="台幣",="2024/10",991.72,1316.83,-7.95,-13.46,168.31,-4.06,204.24,213.92
="上洋(6728)",="台幣",="2024/10",300.00,322.64,35.22,-1.74,28.51,26.25,27.33,24.48
="展碁國際(6776)",="台幣",="2024/10",815.81,2532.50,22.66,6.93,206.51,9.49,227.91,232.82
="泰金寶-DR(9105)",="台幣",="2024/10",16553.66,13705.26,7.60,-11.92,1100.82,-1.03,1346.91,1449.67
="同方友友-DR(911868)",="台幣",="N/A",="--",="--",="--",="--",="--",="--",="--",="--"
