同業比較-消費性電子產品-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="精英(2331)",="台幣",="2024/10",5574.02,1234.60,-2.32,-15.41,144.22,-13.52,197.42,313.47
="友訊(2332)",="台幣",="2024/10",6024.51,1116.22,-13.50,-11.27,120.80,-10.66,159.29,170.78
="佳世達(2352)",="台幣",="2024/10",19667.81,18007.19,5.63,1.93,1655.77,-2.59,2038.99,2398.37
="宏碁(2353)",="台幣",="2024/10",30478.53,18819.70,-2.75,-28.47,2174.06,10.07,2413.21,2754.24
="云辰(2390)",="台幣",="2024/10",1926.19,69.05,40.46,20.56,5.68,8.36,6.48,5.91
="圓剛(2417)",="台幣",="2024/10",1576.18,233.03,-9.92,-11.89,27.59,1.43,32.41,39.69
="兆赫(2485)",="台幣",="2024/10",3176.89,92.26,-80.09,1.55,23.24,-53.71,58.17,65.82
="宏達電(2498)",="台幣",="2024/10",8323.82,223.41,3.46,-33.86,23.59,-31.32,44.18,44.09
="遠見(3040)",="台幣",="2024/10",630.00,11.65,-11.26,-11.62,1.11,-14.14,1.59,1.56
="華晶科(3059)",="台幣",="2024/10",2788.00,646.79,-19.91,0.36,58.32,-22.91,90.99,140.28
="建漢(3062)",="台幣",="2024/10",3304.45,230.24,-45.03,-18.13,27.11,-15.98,38.06,57.55
="昇銳(3128)",="台幣",="2024/10",420.00,99.52,24.92,13.14,8.71,5.38,9.74,10.72
="杭特(3297)",="台幣",="2024/10",360.49,14.70,-17.08,32.02,1.41,7.15,1.62,2.17
="奇偶(3356)",="台幣",="2024/10",898.22,126.31,-5.55,41.42,10.03,-5.58,12.64,13.19
="哲固(3434)",="台幣",="2024/10",280.28,50.22,42.43,-14.64,5.97,11.91,6.28,7.65
="展達(3447)",="台幣",="2024/10",770.84,326.28,109.45,2.76,20.24,-21.48,28.69,60.06
="晶睿(3454)",="台幣",="2024/10",865.67,736.62,12.68,12.36,58.93,-25.93,91.62,99.48
="德晉(3466)",="台幣",="2024/10",614.92,1.41,-93.32,-88.23,2.16,-67.79,7.82,11.66
="西柏(3541)",="台幣",="2024/10",567.87,96.39,10.96,19.44,7.88,-33.94,13.43,19.61
="智易(3596)",="台幣",="2024/10",2203.54,4017.88,-16.07,-1.05,408.98,-2.20,511.58,471.68
="圓展(3669)",="台幣",="2024/10",929.19,178.56,-7.75,-17.07,22.27,5.74,24.85,30.10
="大眾控(3701)",="台幣",="2024/10",2347.14,1162.50,-8.58,7.64,112.98,-0.04,132.45,125.22
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="凌網(5212)",="台幣",="2024/10",346.33,114.71,30.47,59.64,8.27,13.50,10.05,9.81
="天鉞電(5251)",="台幣",="2024/10",356.29,24.29,105.79,-8.84,2.01,53.14,1.79,3.07
="世紀(5314)",="台幣",="2024/10",147.00,62.72,1684.32,123.49,4.23,2608.59,0.85,0.18
="聰泰(5474)",="台幣",="2024/10",403.56,98.32,-6.64,6.41,10.03,3.74,11.81,13.73
="慧友(5484)",="台幣",="2024/10",668.01,42.18,22.77,86.87,4.00,29.65,3.70,3.32
="彩富(5489)",="台幣",="2024/10",1027.06,161.73,19.47,18.86,14.97,20.06,15.31,17.46
="振曜(6143)",="台幣",="2024/10",875.07,623.96,-11.45,23.85,57.69,0.33,66.38,62.70
="百一(6152)",="台幣",="2024/10",1677.38,111.96,-47.38,-17.93,19.38,3.63,21.90,39.39
="宏正(6277)",="台幣",="2024/10",1194.71,445.91,6.77,0.05,40.93,-3.80,51.56,54.03
="京晨科(6419)",="台幣",="2024/10",131.59,64.03,41.18,-15.42,6.33,140.69,3.47,1.79
="啟發電(6512)",="台幣",="2024/10",250.40,10.89,-53.79,-1.64,1.61,-23.70,2.40,3.34
="勝品(6556)",="台幣",="2024/10",287.50,111.60,-17.73,-4.47,14.60,-10.28,19.11,22.56
="欣普羅(6560)",="台幣",="2024/10",258.75,4.02,-18.59,-32.95,0.50,-52.86,1.17,3.64
="鋐寶科技(6674)",="台幣",="2024/10",673.35,126.50,-1.36,42.06,8.06,-17.24,11.64,25.15
="邑錡(7402)",="台幣",="2024/10",352.29,44.31,-7.02,46.69,4.32,-9.18,5.42,6.54
="陞泰(8072)",="台幣",="2024/10",800.00,76.47,-38.84,-20.55,7.79,-22.51,11.62,12.45
="華冠(8101)",="台幣",="2024/10",266.66,6.82,-63.46,-64.06,0.83,-40.31,1.68,3.62
="無敵(8201)",="台幣",="2024/10",623.66,24.07,-6.97,-35.05,3.89,-13.46,5.17,5.99
="泰金寶-DR(9105)",="台幣",="2024/10",16553.66,13705.26,7.60,-11.92,1100.82,-1.03,1346.91,1449.67
="中保科(9917)",="台幣",="2024/10",4511.97,1485.99,2.39,-1.45,145.76,3.55,170.71,153.53
="新保(9925)",="台幣",="2024/10",3874.89,667.53,6.12,2.98,65.45,1.61,77.08,76.53
