同業比較-視訊轉換相關-營收分析-和碩(4938)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="圓剛(2417)",="台幣",="2024/10",1576.18,233.03,-9.92,-11.89,27.59,1.43,32.41,39.69
="兆赫(2485)",="台幣",="2024/10",3176.89,92.26,-80.09,1.55,23.24,-53.71,58.17,65.82
="建漢(3062)",="台幣",="2024/10",3304.45,230.24,-45.03,-18.13,27.11,-15.98,38.06,57.55
="展達(3447)",="台幣",="2024/10",770.84,326.28,109.45,2.76,20.24,-21.48,28.69,60.06
="德晉(3466)",="台幣",="2024/10",614.92,1.41,-93.32,-88.23,2.16,-67.79,7.82,11.66
="西柏(3541)",="台幣",="2024/10",567.87,96.39,10.96,19.44,7.88,-33.94,13.43,19.61
="智易(3596)",="台幣",="2024/10",2203.54,4017.88,-16.07,-1.05,408.98,-2.20,511.58,471.68
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="聰泰(5474)",="台幣",="2024/10",403.56,98.32,-6.64,6.41,10.03,3.74,11.81,13.73
="百一(6152)",="台幣",="2024/10",1677.38,111.96,-47.38,-17.93,19.38,3.63,21.90,39.39
="宏正(6277)",="台幣",="2024/10",1194.71,445.91,6.77,0.05,40.93,-3.80,51.56,54.03
="啟發電(6512)",="台幣",="2024/10",250.40,10.89,-53.79,-1.64,1.61,-23.70,2.40,3.34
="鋐寶科技(6674)",="台幣",="2024/10",673.35,126.50,-1.36,42.06,8.06,-17.24,11.64,25.15
="泰金寶-DR(9105)",="台幣",="2024/10",16553.66,13705.26,7.60,-11.92,1100.82,-1.03,1346.91,1449.67
