同業比較-觸控IC-營收分析-迅杰(6243)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="矽統(2363)",="台幣",="2024/10",4872.33,140.67,1010.47,-20.49,4.38,165.89,1.87,1.82
="義隆(2458)",="台幣",="2024/10",3038.80,1083.78,0.74,-2.79,107.44,7.18,120.59,130.30
="聯陽(3014)",="台幣",="2024/10",1660.35,592.93,20.20,-7.14,55.86,5.00,62.76,52.12
="聯詠(3034)",="台幣",="2024/10",6085.11,8522.70,-10.53,-4.43,860.48,-7.28,1104.29,1099.57
="晶宏(3141)",="台幣",="2024/10",751.22,127.17,-1.82,8.53,12.46,-22.03,18.53,25.16
="敦泰(3545)",="台幣",="2024/10",2195.70,1422.49,15.86,0.14,117.73,5.46,135.68,129.50
="禾瑞亞(3556)",="台幣",="2024/10",637.03,79.28,23.10,16.83,8.15,-15.43,11.43,14.19
="譜瑞-KY(4966)",="台幣",="2024/10",811.61,1312.55,15.92,-12.24,134.38,21.24,137.70,200.52
="通泰(5487)",="台幣",="2024/10",242.23,15.75,27.41,-3.45,1.61,25.00,1.61,2.36
="迅杰(6243)",="台幣",="2024/10",452.68,70.70,5.16,11.13,6.12,-18.15,8.75,7.14
="矽創(8016)",="台幣",="2024/10",1201.36,1527.52,0.38,-3.89,147.37,7.31,167.23,180.28
