同業比較-資產股-營收分析-東元(1504)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="味王(1203)",="台幣",="2024/10",2400.00,537.49,6.57,14.90,50.56,-3.20,63.48,63.79
="黑松(1234)",="台幣",="2024/10",4018.71,750.04,-21.94,-20.55,87.26,-2.23,105.81,95.59
="中石化(1314)",="台幣",="2024/10",37848.50,2138.57,-4.42,3.39,261.49,22.90,264.14,250.28
="達新(1315)",="台幣",="2024/10",990.99,174.75,27.64,-0.48,17.00,-7.11,21.57,26.69
="大洋(1321)",="台幣",="2024/10",2272.28,430.68,34.03,25.10,38.99,-0.79,49.13,65.05
="遠東新(1402)",="台幣",="2024/10",53528.75,23250.82,3.62,2.87,2234.46,5.05,2571.96,2639.65
="新纖(1409)",="台幣",="2024/10",16184.09,3517.09,8.09,-6.24,375.20,13.66,395.14,459.63
="南染(1410)",="台幣",="2024/10",630.00,18.28,-1.39,-10.82,1.94,4.85,2.23,3.96
="東和(1414)",="台幣",="2024/10",2200.00,39.20,-14.90,3.93,4.44,-5.01,5.67,6.89
="廣豐(1416)",="台幣",="2024/10",1853.42,26.83,7.51,-5.91,2.66,12.07,2.96,2.49
="新紡(1419)",="台幣",="2024/10",3000.41,374.63,14.29,-5.28,32.60,22.74,33.83,33.49
="利華(1423)",="台幣",="2024/10",996.48,4.92,-50.63,-7.48,0.93,-7.72,1.24,1.76
="勤益控(1437)",="台幣",="2024/10",2033.71,64.00,-2.39,-3.38,7.02,-5.40,8.63,8.02
="南紡(1440)",="台幣",="2024/10",16568.15,1551.38,-11.30,16.19,147.42,-12.07,194.45,219.68
="大東(1441)",="台幣",="2024/10",632.95,176.43,32.49,45.15,13.59,34.86,11.59,15.88
="宏和(1446)",="台幣",="2024/10",1377.09,472.56,4582.10,22.61,35.29,3149.75,5.73,1.56
="宜進(1457)",="台幣",="2024/10",3167.30,255.18,-14.10,-15.12,28.13,8.26,31.23,43.52
="南緯(1467)",="台幣",="2024/10",1682.09,445.09,32.44,-17.18,41.54,7.47,45.55,61.32
="士電(1503)",="台幣",="2024/10",5209.72,2587.62,10.43,-11.46,287.39,7.66,318.30,307.46
="東元(1504)",="台幣",="2024/10",21387.96,4243.66,-9.02,-2.86,459.76,-7.48,594.31,582.09
="勤美(1532)",="台幣",="2024/10",3907.83,943.51,-7.37,-11.69,159.78,14.23,176.37,146.09
="聲寶(1604)",="台幣",="2024/10",3842.00,696.35,2.94,6.38,78.75,3.75,88.89,89.36
="三洋電(1614)",="台幣",="2024/10",2691.13,372.02,5.72,-18.00,47.74,-3.00,57.26,61.08
="南僑(1702)",="台幣",="2024/10",2941.32,1981.59,9.55,-5.59,194.18,4.35,226.78,204.78
="台肥(1722)",="台幣",="2024/10",9800.00,910.91,2.73,-11.20,100.82,-24.02,150.09,150.53
="士紙(1903)",="台幣",="2024/10",2600.39,11.92,-12.42,8.46,1.28,-10.25,1.71,1.65
="唐榮(2035)",="台幣",="2024/10",3500.00,1285.91,93.32,41.20,101.85,10.21,107.07,140.52
="南港(2101)",="台幣",="2024/10",8339.34,765.11,8.29,-89.11,139.12,111.12,78.52,74.16
="泰豐(2102)",="台幣",="2024/10",4733.29,30.62,164.42,-6.50,2.19,-50.81,4.80,16.16
="厚生(2107)",="台幣",="2024/10",3035.93,96.97,4.63,-40.37,12.21,6.42,13.61,19.39
="裕隆(2201)",="台幣",="2024/10",10700.01,6625.46,-11.90,-6.24,716.18,7.61,822.17,772.69
="三陽工業(2206)",="台幣",="2024/10",7974.89,4886.17,-10.03,-8.96,559.73,2.07,644.70,507.75
="藍天(2362)",="台幣",="2024/10",6322.63,2759.61,11.05,12.72,220.01,9.38,243.76,221.94
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="國產(2504)",="台幣",="2024/10",11800.00,1789.46,-3.07,1.96,178.10,3.56,210.41,212.79
="榮運(2607)",="台幣",="2024/10",10671.41,1679.14,-0.10,-17.68,178.43,33.85,163.86,176.87
="六福(2705)",="台幣",="2024/10",1865.36,217.97,-0.44,29.59,18.41,3.87,22.12,16.70
="欣欣(2901)",="台幣",="2024/10",730.43,10.91,-5.70,-0.14,1.12,1.74,1.33,1.13
="農林(2913)",="台幣",="2024/10",7067.50,41.19,35.84,3.30,3.50,9.40,3.80,3.77
="憶聲(3024)",="台幣",="2024/10",2771.57,311.37,105.27,209.54,14.61,9.86,15.27,14.86
="順達(3211)",="台幣",="2024/10",1521.02,770.86,-36.08,-33.19,117.36,-16.09,172.30,190.72
="台火(9902)",="台幣",="2024/10",980.49,12.86,-33.77,436.97,1.85,50.30,2.92,1.72
