同業比較-車用電子-營收分析-威盛(2388)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="車王電(1533)",="台幣",="2024/10",985.47,497.17,16.87,119.82,24.63,-29.61,40.04,33.71
="為升(2231)",="台幣",="2024/10",1409.17,505.18,43.85,18.15,37.00,0.46,43.94,39.55
="光寶科(2301)",="台幣",="2024/10",23472.49,12396.25,1.29,4.61,1112.24,-10.06,1483.36,1734.75
="台達電(2308)",="台幣",="2024/10",25975.43,38816.85,11.94,4.64,3457.62,2.94,4012.27,3844.43
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="昆盈(2365)",="台幣",="2024/10",2215.28,65.65,9.67,-13.09,8.18,29.29,7.70,10.21
="威盛(2388)",="台幣",="2024/10",5550.59,1634.88,59.71,-38.29,120.43,27.34,126.47,92.97
="怡利電(2497)",="台幣",="2024/10",1227.98,430.38,28.96,-3.16,37.51,24.05,37.66,35.66
="憶聲(3024)",="台幣",="2024/10",2771.57,311.37,105.27,209.54,14.61,9.86,15.27,14.86
="華晶科(3059)",="台幣",="2024/10",2788.00,646.79,-19.91,0.36,58.32,-22.91,90.99,140.28
="昇銳(3128)",="台幣",="2024/10",420.00,99.52,24.92,13.14,8.71,5.38,9.74,10.72
="同致(3552)",="台幣",="2024/10",941.52,687.02,-25.45,-6.52,68.90,-12.47,99.19,95.03
="研勤(3632)",="台幣",="2024/10",408.90,27.25,-19.22,-31.31,3.12,-1.11,3.93,3.80
="大眾控(3701)",="台幣",="2024/10",2347.14,1162.50,-8.58,7.64,112.98,-0.04,132.45,125.22
="神達(3706)",="台幣",="2024/10",12065.56,7148.06,149.74,35.76,450.60,47.51,355.36,478.33
="橙的(4554)",="台幣",="2024/10",232.99,38.02,7.33,13.68,3.26,14.15,3.66,3.56
="致伸(4915)",="台幣",="2024/10",4660.32,4643.34,-6.85,-13.49,496.69,-3.46,604.88,792.41
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="凌通(4952)",="台幣",="2024/10",1088.15,177.11,0.84,-2.34,21.69,17.56,21.67,31.69
="系統電(5309)",="台幣",="2024/10",1909.24,258.71,-10.10,11.47,26.05,-3.22,32.89,34.02
="世紀(5314)",="台幣",="2024/10",147.00,62.72,1684.32,123.49,4.23,2608.59,0.85,0.18
="台林(5353)",="台幣",="2024/10",751.98,134.38,-22.92,-16.88,15.64,-8.15,19.81,19.12
="天瀚(6225)",="台幣",="2024/10",200.00,3.75,2.15,-38.84,0.44,29.06,0.54,0.34
="淳安(6283)",="台幣",="2024/10",1339.53,156.65,32.52,22.67,12.08,14.41,12.89,17.31
="啟碁(6285)",="台幣",="2024/10",4852.53,9160.94,-6.69,9.42,914.25,0.55,1107.88,952.57
="威力暘-創(6988)",="台幣",="2024/10",488.76,74.96,41.28,2.32,7.51,7.01,="--",="--"
="無敵(8201)",="台幣",="2024/10",623.66,24.07,-6.97,-35.05,3.89,-13.46,5.17,5.99
="朋程(8255)",="台幣",="2024/10",1014.47,640.83,27.93,0.34,63.02,39.35,56.49,41.99
