同業比較-電力設備-營收分析-東元(1504)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="士電(1503)",="台幣",="2024/10",5209.72,2587.62,10.43,-11.46,287.39,7.66,318.30,307.46
="東元(1504)",="台幣",="2024/10",21387.96,4243.66,-9.02,-2.86,459.76,-7.48,594.31,582.09
="中興電(1513)",="台幣",="2024/10",5031.12,2323.72,15.86,10.38,209.83,14.63,221.45,185.53
="亞力(1514)",="台幣",="2024/10",2675.35,715.81,-23.73,2.81,69.37,-1.41,94.57,76.80
="華城(1519)",="台幣",="2024/10",2871.64,1968.76,46.36,11.49,150.09,55.81,139.00,77.51
="樂事綠能(1529)",="台幣",="2024/10",1550.95,87.70,14.47,13.80,5.93,-2.41,7.52,2.82
="廣隆(1537)",="台幣",="2024/10",820.62,738.98,16.04,4.53,67.98,28.27,64.18,73.19
="台達電(2308)",="台幣",="2024/10",25975.43,38816.85,11.94,4.64,3457.62,2.94,4012.27,3844.43
="所羅門(2359)",="台幣",="2024/10",1714.71,312.05,-3.33,-6.71,28.16,-18.89,41.89,52.32
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="正崴(2392)",="台幣",="2024/10",5123.26,12029.84,22.95,51.94,775.82,9.46,908.53,941.03
="翔耀(2438)",="台幣",="2024/10",601.95,37.09,392.13,9.02,2.90,175.69,1.18,2.10
="百容(2483)",="台幣",="2024/10",1090.93,152.84,8.12,7.24,14.96,-0.83,17.96,22.26
="中工(2515)",="台幣",="2024/10",15308.99,1909.36,22.48,-12.68,183.96,19.68,189.59,150.93
="順達(3211)",="台幣",="2024/10",1521.02,770.86,-36.08,-33.19,117.36,-16.09,172.30,190.72
="加百裕(3323)",="台幣",="2024/10",883.06,418.76,-16.08,-8.70,45.09,-26.46,72.04,111.00
="台興(3426)",="台幣",="2024/10",264.00,62.98,-1.77,-11.16,6.38,21.03,6.35,7.17
="西勝(3625)",="台幣",="2024/10",1141.31,28.57,-73.03,-29.89,4.43,-53.44,11.53,14.79
="盈正(3628)",="台幣",="2024/10",450.00,278.36,14.05,13.86,23.47,5.75,29.25,30.58
="連展投控(3710)",="台幣",="2024/10",2872.51,615.55,9.21,-8.04,59.93,21.57,60.98,64.01
="金雨(4503)",="台幣",="2024/10",603.13,28.75,-9.76,0.16,2.55,20.49,2.75,1.75
="永彰(4523)",="台幣",="2024/10",651.00,77.72,3.87,73.89,4.74,-2.60,5.83,5.57
="長佳(4550)",="台幣",="2024/10",378.39,82.77,-46.12,29.20,10.59,-30.53,19.09,13.55
="玖鼎電力(4588)",="台幣",="2024/10",428.57,77.29,-11.01,-2.58,8.22,-10.42,10.37,7.16
="新盛力(4931)",="台幣",="2024/10",657.36,161.43,83.48,-5.24,17.49,12.59,17.11,27.49
="系統電(5309)",="台幣",="2024/10",1909.24,258.71,-10.10,11.47,26.05,-3.22,32.89,34.02
="天揚(5345)",="台幣",="2024/10",377.95,0.74,15.09,29.60,0.05,-7.32,0.06,0.07
="合正(5381)",="台幣",="2024/10",2142.07,231.24,210.23,32.60,20.33,107.50,11.93,3.23
="新門(5432)",="台幣",="2024/10",206.88,12.39,-42.32,8.66,1.61,-25.97,2.59,2.08
="桓鼎-KY(5543)",="台幣",="2024/10",393.04,248.20,-17.32,-21.72,27.71,0.97,33.24,36.29
="新普(6121)",="台幣",="2024/10",1849.71,7871.50,-5.20,-1.18,664.85,-4.24,848.06,956.24
="擎邦(6122)",="台幣",="2024/10",780.92,308.92,-56.34,-20.09,33.81,-22.66,53.14,24.59
="廣錠(6441)",="台幣",="2024/10",533.18,30.98,-42.66,-62.68,4.91,-16.05,6.83,5.83
="AES-KY(6781)",="台幣",="2024/10",854.18,951.99,17.49,10.43,77.99,-6.66,100.32,150.52
="森崴能源(6806)",="台幣",="2024/10",2208.49,3011.45,123.15,216.41,129.34,76.42,112.50,43.01
="雲豹能源(6869)",="台幣",="2024/10",1296.03,407.64,3.71,82.98,30.41,-48.88,67.84,63.01
="長園科(8038)",="台幣",="2024/10",628.74,26.91,11.44,6.97,1.14,-61.32,3.33,2.07
="錸寶(8104)",="台幣",="2024/10",916.51,211.27,-11.35,0.02,19.61,-11.35,26.82,27.18
="天宇(8171)",="台幣",="2024/10",774.64,64.74,-4.95,-24.66,9.04,20.72,9.15,14.82
="羅昇(8374)",="台幣",="2024/10",892.50,411.22,79.98,18.24,28.76,10.44,30.52,37.56
="大拓-KY(8455)",="台幣",="2024/10",252.19,96.92,-19.55,-27.96,10.49,-17.23,14.72,14.53
