同業比較-電商平台-營收分析-富爾特(6136)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="易飛網(2734)",="台幣",="2024/10",422.60,107.68,-51.32,-8.18,16.38,-8.69,21.70,4.28
="米斯特(2941)",="台幣",="2024/10",153.90,61.98,2.68,-5.30,6.63,7.16,7.43,5.06
="台灣大(3045)",="台幣",="2024/10",37232.61,15929.97,7.51,0.11,1591.52,10.09,1833.48,1722.06
="新零售(3085)",="台幣",="2024/10",290.19,3.10,-14.34,3.85,0.43,-32.02,0.73,1.77
="數字(5287)",="台幣",="2024/10",599.99,193.61,3.57,2.29,18.83,5.53,21.50,19.58
="美而快(5321)",="台幣",="2024/10",531.80,290.55,28.86,1.22,27.99,0.09,32.64,31.73
="富爾特(6136)",="台幣",="2024/10",1155.36,43.06,-1.90,29.54,4.04,-5.15,5.06,5.00
="橘子(6180)",="台幣",="2024/10",1754.94,835.99,15.50,12.94,98.37,15.48,97.86,113.73
="軒郁(6703)",="台幣",="2024/10",299.62,273.42,-2.13,4.25,28.59,28.54,29.74,17.08
="網家(8044)",="台幣",="2024/10",1439.53,3140.80,-12.52,6.31,296.96,-8.98,410.70,461.00
="富邦媒(8454)",="台幣",="2024/10",2523.57,8156.01,2.67,-1.08,872.44,3.43,1092.43,1034.36
="夠麻吉(8472)",="台幣",="2024/10",177.36,22.37,-32.34,-16.76,2.75,-9.82,3.89,3.32
="創業家(8477)",="台幣",="2024/10",341.71,62.62,-40.42,21.35,7.60,-30.00,13.19,23.53
="邁達康(9960)",="台幣",="2024/10",335.93,65.05,-19.26,14.04,5.77,-12.33,8.08,9.49
