同業比較-電子製造服務-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="楠梓電(2316)",="台幣",="2024/10",1827.40,344.13,27.31,42.01,27.53,-5.85,35.11,51.42
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="廣宇(2328)",="台幣",="2024/10",5183.46,1864.62,-5.46,-5.62,179.87,-14.91,256.80,262.71
="華泰(2329)",="台幣",="2024/10",5603.08,1315.76,-18.98,-1.03,134.66,-0.82,166.90,155.44
="佳世達(2352)",="台幣",="2024/10",19667.81,18007.19,5.63,1.93,1655.77,-2.59,2038.99,2398.37
="鴻準(2354)",="台幣",="2024/10",14144.85,6571.48,21.77,17.23,491.28,-27.54,744.86,905.19
="英業達(2356)",="台幣",="2024/10",35874.75,64685.08,60.10,14.99,5131.65,20.16,5147.45,5417.48
="廣達(2382)",="台幣",="2024/10",38626.27,135893.23,48.69,-12.39,11293.36,27.02,10856.11,12815.41
="環科(2413)",="台幣",="2024/10",1273.59,299.72,-7.29,21.41,25.82,-34.12,46.04,48.34
="緯創(3231)",="台幣",="2024/10",28967.67,96284.82,22.81,-0.64,8483.59,18.58,8665.83,9843.98
="華盈(3520)",="台幣",="2024/10",688.47,101.28,39.55,17.74,8.69,28.60,8.36,10.04
="大眾控(3701)",="台幣",="2024/10",2347.14,1162.50,-8.58,7.64,112.98,-0.04,132.45,125.22
="日月光投控(3711)",="台幣",="2024/10",44066.78,56425.58,0.46,1.52,4895.72,2.53,5819.14,6708.73
="達航科技(4577)",="台幣",="2024/10",491.38,51.05,-25.30,-6.35,4.40,-35.92,7.57,15.63
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="宣德(5457)",="台幣",="2024/10",1728.37,2177.23,58.96,-13.02,183.35,31.11,167.10,191.79
="瀚宇博(5469)",="台幣",="2024/10",4861.66,3404.23,-5.71,-11.20,348.59,-4.50,429.76,476.88
="凱崴(5498)",="台幣",="2024/10",1924.49,94.48,-4.24,-0.65,9.69,10.19,10.68,14.54
="精成科(6191)",="台幣",="2024/10",4743.03,1616.90,-13.80,-14.38,183.18,-4.23,228.79,242.51
="泰詠(6266)",="台幣",="2024/10",1450.07,285.90,26.92,8.74,27.14,-14.02,36.60,32.95
="台表科(6278)",="台幣",="2024/10",2923.98,3737.81,-11.00,4.85,371.78,-3.53,464.96,684.55
="尖點(8021)",="台幣",="2024/10",1421.80,315.38,20.03,-2.06,29.04,30.28,27.48,35.10
="品安(8088)",="台幣",="2024/10",609.22,87.37,-37.95,4.34,8.29,-35.36,15.23,17.56
="華冠(8101)",="台幣",="2024/10",266.66,6.82,-63.46,-64.06,0.83,-40.31,1.68,3.62
="精星(8183)",="台幣",="2024/10",1212.51,822.02,24.37,7.91,56.37,2.44,66.79,68.79
="泰金寶-DR(9105)",="台幣",="2024/10",16553.66,13705.26,7.60,-11.92,1100.82,-1.03,1346.91,1449.67
