同業比較-電腦系統業-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="光寶科(2301)",="台幣",="2024/10",23472.49,12396.25,1.29,4.61,1112.24,-10.06,1483.36,1734.75
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="楠梓電(2316)",="台幣",="2024/10",1827.40,344.13,27.31,42.01,27.53,-5.85,35.11,51.42
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="廣宇(2328)",="台幣",="2024/10",5183.46,1864.62,-5.46,-5.62,179.87,-14.91,256.80,262.71
="華泰(2329)",="台幣",="2024/10",5603.08,1315.76,-18.98,-1.03,134.66,-0.82,166.90,155.44
="精英(2331)",="台幣",="2024/10",5574.02,1234.60,-2.32,-15.41,144.22,-13.52,197.42,313.47
="佳世達(2352)",="台幣",="2024/10",19667.81,18007.19,5.63,1.93,1655.77,-2.59,2038.99,2398.37
="宏碁(2353)",="台幣",="2024/10",30478.53,18819.70,-2.75,-28.47,2174.06,10.07,2413.21,2754.24
="鴻準(2354)",="台幣",="2024/10",14144.85,6571.48,21.77,17.23,491.28,-27.54,744.86,905.19
="英業達(2356)",="台幣",="2024/10",35874.75,64685.08,60.10,14.99,5131.65,20.16,5147.45,5417.48
="華碩(2357)",="台幣",="2024/10",7427.60,49931.51,18.53,-19.54,4830.96,19.50,4834.71,5371.92
="藍天(2362)",="台幣",="2024/10",6322.63,2759.61,11.05,12.72,220.01,9.38,243.76,221.94
="倫飛(2364)",="台幣",="2024/10",402.98,100.81,22.08,-17.16,10.25,17.92,10.81,9.32
="技嘉(2376)",="台幣",="2024/10",6698.88,25771.68,53.72,-3.61,2252.92,108.35,1368.95,1072.12
="微星(2377)",="台幣",="2024/10",8448.56,20066.24,4.80,1.29,1664.51,8.82,1829.65,1804.11
="廣達(2382)",="台幣",="2024/10",38626.27,135893.23,48.69,-12.39,11293.36,27.02,10856.11,12815.41
="研華(2395)",="台幣",="2024/10",8631.67,5534.57,7.96,11.79,490.07,-10.17,645.68,687.45
="友通(2397)",="台幣",="2024/10",1144.88,968.42,39.75,9.96,75.67,-37.95,136.85,161.57
="映泰(2399)",="台幣",="2024/10",1781.00,123.49,-47.48,-31.40,17.70,-12.18,23.44,22.36
="輔信(2405)",="台幣",="2024/10",3434.27,140.34,9.66,11.23,14.08,0.35,17.10,17.35
="環科(2413)",="台幣",="2024/10",1273.59,299.72,-7.29,21.41,25.82,-34.12,46.04,48.34
="承啟(2425)",="台幣",="2024/10",964.98,574.86,21.43,13.48,46.22,-15.92,68.23,61.99
="麗臺(2465)",="台幣",="2024/10",589.46,348.62,-16.95,6.98,30.16,1.41,42.76,53.11
="神基(3005)",="台幣",="2024/10",6117.60,3008.90,-5.27,-2.92,295.04,1.75,347.93,324.76
="威強電(3022)",="台幣",="2024/10",1765.97,509.23,-12.63,-11.98,57.12,-12.25,75.89,79.42
="建碁(3046)",="台幣",="2024/10",784.48,405.85,4.48,-28.10,61.78,29.40,56.67,33.30
="艾訊(3088)",="台幣",="2024/10",1022.53,626.64,10.85,-14.35,55.67,-1.36,67.00,66.19
="茂訊(3213)",="台幣",="2024/10",586.86,184.01,-19.07,-18.25,23.93,-3.04,29.89,27.08
