同業比較-IC製造-營收分析-昇陽半導體(8028)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="中砂(1560)",="台幣",="2024/10",1451.48,593.54,7.22,-6.99,57.79,8.23,63.81,69.08
="聯電(2303)",="台幣",="2024/10",125284.66,21371.11,11.36,12.82,1932.88,3.49,2225.33,2787.05
="中環(2323)",="台幣",="2024/10",10893.48,714.42,4.99,11.58,62.24,1.16,73.81,76.92
="台積電(2330)",="台幣",="2024/10",259327.33,314239.71,29.21,24.76,23400.86,31.51,21617.36,22638.91
="旺宏(2337)",="台幣",="2024/10",18558.26,2135.34,-1.42,-19.51,221.06,-7.82,276.24,434.87
="光罩(2338)",="台幣",="2024/10",2564.46,636.84,3.92,-0.26,62.81,5.89,72.00,77.41
="茂矽(2342)",="台幣",="2024/10",1574.51,179.87,53.66,2.57,15.32,19.02,14.83,21.52
="華邦電(2344)",="台幣",="2024/10",45000.00,6097.94,-3.18,-15.68,690.16,11.08,750.06,945.30
="南亞科(2408)",="台幣",="2024/10",30986.27,2182.24,-18.21,-15.58,297.39,24.66,298.92,569.52
="全新(2455)",="台幣",="2024/10",1849.05,236.27,-25.39,-12.26,27.55,32.85,26.94,26.04
="嘉晶(3016)",="台幣",="2024/10",2885.41,342.46,-1.17,-2.42,34.75,-2.30,42.37,59.00
="聯亞(3081)",="台幣",="2024/10",925.31,114.60,41.79,3.71,10.34,23.10,10.56,23.81
="穩懋(3105)",="台幣",="2024/10",4239.40,1225.68,-22.93,-0.81,149.77,19.26,158.37,183.34
="光環(3234)",="台幣",="2024/10",1114.75,44.60,-23.15,-4.04,4.71,-7.69,6.30,9.90
="台勝科(3532)",="台幣",="2024/10",3878.48,974.11,-10.89,-4.63,102.79,-15.21,148.76,163.93
="辛耘(3583)",="台幣",="2024/10",803.28,881.70,45.02,1.79,79.99,43.34,69.12,56.50
="漢磊(3707)",="台幣",="2024/10",3332.23,478.56,-8.67,-0.63,49.00,-18.26,70.80,88.80
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="IET-KY(4971)",="台幣",="2024/10",367.86,56.51,-11.44,10.17,5.49,-0.46,6.61,8.95
="環宇-KY(4991)",="台幣",="2024/10",1119.05,123.09,-7.16,-36.07,13.97,29.07,13.51,13.34
="全訊(5222)",="台幣",="2024/10",819.97,102.73,-11.78,-0.05,10.75,8.19,12.51,10.35
="世界(5347)",="台幣",="2024/10",18389.82,3792.75,16.96,-17.81,362.95,13.99,382.73,516.94
="中美晶(5483)",="台幣",="2024/10",6412.22,6977.11,10.69,8.91,666.90,-0.65,819.66,818.72
="合邦(6103)",="台幣",="2024/10",136.05,5.64,322.40,-16.12,0.46,15.64,0.48,0.77
="合晶(6182)",="台幣",="2024/10",5727.44,749.42,3.35,-7.18,73.42,-14.71,99.99,127.08
="元隆(6287)",="台幣",="2024/10",1095.36,77.60,-5.84,5.46,8.20,-0.64,9.88,17.88
="環球晶(6488)",="台幣",="2024/10",4781.14,5733.97,12.73,11.31,520.17,-11.80,706.52,702.87
="力積電(6770)",="台幣",="2024/10",41485.46,3913.89,1.74,0.35,375.08,2.18,440.23,760.87
="采鈺(6789)",="台幣",="2024/10",3170.20,904.87,64.19,0.27,82.18,39.10,72.37,90.77
="昇陽半導體(8028)",="台幣",="2024/10",1726.28,344.68,26.57,10.22,28.46,0.00,33.28,31.38
="宏捷科(8086)",="台幣",="2024/10",1965.16,252.34,-22.56,-20.73,39.48,99.47,27.23,21.64
