同業比較-IC設計-營收分析-迅杰(6243)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="矽統(2363)",="台幣",="2024/10",4872.33,140.67,1010.47,-20.49,4.38,165.89,1.87,1.82
="瑞昱(2379)",="台幣",="2024/10",5128.63,8947.32,13.75,-8.98,959.96,19.31,951.79,1117.90
="威盛(2388)",="台幣",="2024/10",5550.59,1634.88,59.71,-38.29,120.43,27.34,126.47,92.97
="凌陽(2401)",="台幣",="2024/10",5919.94,511.06,10.40,-6.71,54.32,17.57,55.35,67.06
="偉詮電(2436)",="台幣",="2024/10",1780.11,279.50,-3.20,-3.80,25.38,6.62,28.86,28.88
="聯發科(2454)",="台幣",="2024/10",16016.94,51117.35,19.40,14.42,4436.60,27.97,4334.46,5487.96
="義隆(2458)",="台幣",="2024/10",3038.80,1083.78,0.74,-2.79,107.44,7.18,120.59,130.30
="晶豪科(3006)",="台幣",="2024/10",2861.72,1146.75,6.26,-7.13,114.77,17.13,118.84,162.08
="聯陽(3014)",="台幣",="2024/10",1660.35,592.93,20.20,-7.14,55.86,5.00,62.76,52.12
="聯詠(3034)",="台幣",="2024/10",6085.11,8522.70,-10.53,-4.43,860.48,-7.28,1104.29,1099.57
="智原(3035)",="台幣",="2024/10",2605.50,930.02,0.34,-1.37,90.42,-10.20,119.66,130.65
="揚智(3041)",="台幣",="2024/10",1951.22,137.39,-1.82,-1.95,13.70,19.84,14.40,26.51
="華晶科(3059)",="台幣",="2024/10",2788.00,646.79,-19.91,0.36,58.32,-22.91,90.99,140.28
="聯傑(3094)",="台幣",="2024/10",831.17,11.50,-37.14,-20.81,1.34,-33.64,2.43,3.07
="笙泉(3122)",="台幣",="2024/10",405.38,32.57,-19.43,1.82,3.02,2.42,3.71,5.11
="晶宏(3141)",="台幣",="2024/10",751.22,127.17,-1.82,8.53,12.46,-22.03,18.53,25.16
="鈺寶-創(3150)",="台幣",="2024/10",443.98,20.98,32.09,-29.86,3.04,57.87,2.19,3.88
="亞信(3169)",="台幣",="2024/10",629.27,70.04,-12.97,11.43,7.03,-2.69,8.88,13.35
="全科(3209)",="台幣",="2024/10",2324.77,4503.72,-30.88,48.55,403.37,-18.66,560.81,604.28
="原相(3227)",="台幣",="2024/10",1492.22,748.90,26.63,0.72,68.08,45.87,58.45,52.26
="金麗科(3228)",="台幣",="2024/10",698.26,20.29,-20.53,-15.71,3.80,49.28,3.02,4.16
="昱捷(3232)",="台幣",="2024/10",465.68,126.08,-12.38,-10.21,13.65,9.19,15.09,14.18
="虹冠電(3257)",="台幣",="2024/10",799.86,50.04,-50.18,-28.54,7.15,-20.17,10.74,5.42
="鑫創(3259)",="台幣",="2024/10",569.66,26.20,76.14,-7.02,1.92,-18.53,2.76,4.03
="海德威(3268)",="台幣",="2024/10",347.21,81.03,-2.32,-11.21,8.50,-5.48,10.50,12.31
="點晶(3288)",="台幣",="2024/10",150.00,4.76,-30.35,-54.39,0.61,-22.32,0.98,1.16
="類比科(3438)",="台幣",="2024/10",471.66,79.69,23.90,9.37,8.15,10.76,8.80,10.36
="創意(3443)",="台幣",="2024/10",1340.11,1482.73,-30.32,-15.92,205.04,-7.03,262.41,240.40
="聚積(3527)",="台幣",="2024/10",444.45,134.90,12.72,1.85,15.27,-0.50,18.56,25.34
="力旺(3529)",="台幣",="2024/10",746.56,561.52,13.36,448.42,31.57,19.27,30.50,32.17
="晶相光(3530)",="台幣",="2024/10",784.55,137.98,22.67,-33.72,14.81,10.79,16.64,20.29
="敦泰(3545)",="台幣",="2024/10",2195.70,1422.49,15.86,0.14,117.73,5.46,135.68,129.50
="禾瑞亞(3556)",="台幣",="2024/10",637.03,79.28,23.10,16.83,8.15,-15.43,11.43,14.19
="通嘉(3588)",="台幣",="2024/10",600.29,120.06,9.00,-14.70,12.39,34.14,11.42,16.32
="瑞鼎(3592)",="台幣",="2024/10",758.55,1987.93,21.01,-5.22,206.76,37.17,183.47,228.22
="世芯-KY(3661)",="台幣",="2024/10",781.11,4192.68,47.76,-20.92,430.98,79.04,304.80,137.06
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="陞達科技(4945)",="台幣",="2024/10",300.22,40.68,-5.77,-15.93,3.77,9.31,4.22,5.16
="精拓科(4951)",="台幣",="2024/10",341.49,44.81,32.18,-0.50,4.32,26.82,4.09,5.28
="凌通(4952)",="台幣",="2024/10",1088.15,177.11,0.84,-2.34,21.69,17.56,21.67,31.69
="天鈺(4961)",="台幣",="2024/10",1212.54,1695.58,34.03,-4.90,157.49,14.25,162.76,196.80
="譜瑞-KY(4966)",="台幣",="2024/10",811.61,1312.55,15.92,-12.24,134.38,21.24,137.70,200.52
="凌陽創新(5236)",="台幣",="2024/10",584.44,160.41,8.18,-13.12,14.81,9.36,16.50,15.42
="祥碩(5269)",="台幣",="2024/10",746.62,622.81,4.17,18.05,68.04,28.67,64.01,52.48
="笙科(5272)",="台幣",="2024/10",552.76,28.06,10.05,-4.72,2.80,2.84,3.34,5.09
="信驊(5274)",="台幣",="2024/10",378.21,685.78,111.88,-3.16,50.42,104.13,31.30,52.10
="杰力(5299)",="台幣",="2024/10",508.89,131.18,-6.62,-7.58,14.13,-1.92,17.33,23.35
="太欣(5302)",="台幣",="2024/10",1598.88,1.01,10.13,-15.26,0.12,3.43,0.12,0.11
="世紀(5314)",="台幣",="2024/10",147.00,62.72,1684.32,123.49,4.23,2608.59,0.85,0.18
="鈺創(5351)",="台幣",="2024/10",3255.96,220.04,-0.29,-7.13,30.14,37.95,26.62,46.85
="凱鈺(5468)",="台幣",="2024/10",358.23,11.33,18.36,26.10,1.00,2.69,1.19,1.60
="松翰(5471)",="台幣",="2024/10",1678.77,217.38,-12.23,-1.82,22.45,4.56,26.10,33.54
="通泰(5487)",="台幣",="2024/10",242.23,15.75,27.41,-3.45,1.61,25.00,1.61,2.36
="合邦(6103)",="台幣",="2024/10",136.05,5.64,322.40,-16.12,0.46,15.64,0.48,0.77
="創惟(6104)",="台幣",="2024/10",906.80,324.01,38.02,4.64,25.57,24.70,25.16,32.44
="普誠(6129)",="台幣",="2024/10",1809.44,79.98,-38.61,-19.78,9.41,-31.07,16.60,19.52
="茂達(6138)",="台幣",="2024/10",750.19,503.92,-2.97,-8.28,50.85,14.94,54.16,63.82
="盛群(6202)",="台幣",="2024/10",2261.68,229.30,28.12,-2.83,20.39,-10.85,25.96,60.16
="研通(6229)",="台幣",="2024/10",356.41,151.09,73.04,-20.52,14.36,59.43,11.01,16.05
="系微(6231)",="台幣",="2024/10",456.52,117.99,14.38,-40.21,13.05,21.40,13.42,14.07
="旺玖(6233)",="台幣",="2024/10",802.20,34.93,19.68,-7.61,3.45,14.48,3.61,4.38
="驊訊(6237)",="台幣",="2024/10",796.45,56.66,83.28,30.98,3.52,1.55,4.18,7.26
="迅杰(6243)",="台幣",="2024/10",452.68,70.70,5.16,11.13,6.12,-18.15,8.75,7.14
="沛亨(6291)",="台幣",="2024/10",420.00,141.39,-45.27,-2.59,15.12,-27.92,21.68,14.17
="晶焱(6411)",="台幣",="2024/10",990.01,268.98,32.78,2.60,23.22,3.85,26.38,28.11
="矽力*-KY(6415)",="台幣",="2024/10",3850.14,1480.66,6.28,-9.32,148.28,18.31,154.05,235.11
="億而得-創(6423)",="台幣",="2024/10",294.26,33.24,36.38,1203.33,2.09,23.48,1.87,2.29
="紘康(6457)",="台幣",="2024/10",318.55,73.98,17.28,-14.77,7.97,35.57,7.39,8.46
="神盾(6462)",="台幣",="2024/10",883.83,462.06,54.54,1.23,36.76,21.66,38.49,32.89
