同業比較-MCU-營收分析-迅杰(6243)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="偉詮電(2436)",="台幣",="2024/10",1780.11,279.50,-3.20,-3.80,25.38,6.62,28.86,28.88
="義隆(2458)",="台幣",="2024/10",3038.80,1083.78,0.74,-2.79,107.44,7.18,120.59,130.30
="笙泉(3122)",="台幣",="2024/10",405.38,32.57,-19.43,1.82,3.02,2.42,3.71,5.11
="金麗科(3228)",="台幣",="2024/10",698.26,20.29,-20.53,-15.71,3.80,49.28,3.02,4.16
="類比科(3438)",="台幣",="2024/10",471.66,79.69,23.90,9.37,8.15,10.76,8.80,10.36
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="陞達科技(4945)",="台幣",="2024/10",300.22,40.68,-5.77,-15.93,3.77,9.31,4.22,5.16
="凌通(4952)",="台幣",="2024/10",1088.15,177.11,0.84,-2.34,21.69,17.56,21.67,31.69
="凌陽創新(5236)",="台幣",="2024/10",584.44,160.41,8.18,-13.12,14.81,9.36,16.50,15.42
="太欣(5302)",="台幣",="2024/10",1598.88,1.01,10.13,-15.26,0.12,3.43,0.12,0.11
="世紀(5314)",="台幣",="2024/10",147.00,62.72,1684.32,123.49,4.23,2608.59,0.85,0.18
="松翰(5471)",="台幣",="2024/10",1678.77,217.38,-12.23,-1.82,22.45,4.56,26.10,33.54
="通泰(5487)",="台幣",="2024/10",242.23,15.75,27.41,-3.45,1.61,25.00,1.61,2.36
="盛群(6202)",="台幣",="2024/10",2261.68,229.30,28.12,-2.83,20.39,-10.85,25.96,60.16
="迅杰(6243)",="台幣",="2024/10",452.68,70.70,5.16,11.13,6.12,-18.15,8.75,7.14
="紘康(6457)",="台幣",="2024/10",318.55,73.98,17.28,-14.77,7.97,35.57,7.39,8.46
="九齊(6494)",="台幣",="2024/10",315.60,95.21,-17.58,0.01,11.42,2.15,13.33,17.77
="應廣(6716)",="台幣",="2024/10",304.19,78.81,-18.99,-29.52,10.52,29.06,10.58,9.39
="佑華(8024)",="台幣",="2024/10",451.60,11.64,-5.14,-31.00,1.89,-5.76,2.39,4.46
