同業比較-伺服器-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="宏碁(2353)",="台幣",="2024/10",30478.53,18819.70,-2.75,-28.47,2174.06,10.07,2413.21,2754.24
="英業達(2356)",="台幣",="2024/10",35874.75,64685.08,60.10,14.99,5131.65,20.16,5147.45,5417.48
="技嘉(2376)",="台幣",="2024/10",6698.88,25771.68,53.72,-3.61,2252.92,108.35,1368.95,1072.12
="微星(2377)",="台幣",="2024/10",8448.56,20066.24,4.80,1.29,1664.51,8.82,1829.65,1804.11
="廣達(2382)",="台幣",="2024/10",38626.27,135893.23,48.69,-12.39,11293.36,27.02,10856.11,12815.41
="承啟(2425)",="台幣",="2024/10",964.98,574.86,21.43,13.48,46.22,-15.92,68.23,61.99
="緯創(3231)",="台幣",="2024/10",28967.67,96284.82,22.81,-0.64,8483.59,18.58,8665.83,9843.98
="神達(3706)",="台幣",="2024/10",12065.56,7148.06,149.74,35.76,450.60,47.51,355.36,478.33
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
="迎廣(6117)",="台幣",="2024/10",886.50,211.79,-13.56,-17.54,23.62,24.75,23.67,23.96
="緯穎(6669)",="台幣",="2024/10",1858.40,35381.44,86.79,2.54,2803.09,38.57,2419.01,2928.76
="AMAX-KY(6933)",="台幣",="2024/10",416.94,510.62,6.87,61.62,43.49,-13.25,60.77,67.49
