同業比較-影音IC-營收分析-鑫創(3259)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="瑞昱(2379)",="台幣",="2024/10",5128.63,8947.32,13.75,-8.98,959.96,19.31,951.79,1117.90
="凌陽(2401)",="台幣",="2024/10",5919.94,511.06,10.40,-6.71,54.32,17.57,55.35,67.06
="聯發科(2454)",="台幣",="2024/10",16016.94,51117.35,19.40,14.42,4436.60,27.97,4334.46,5487.96
="聯陽(3014)",="台幣",="2024/10",1660.35,592.93,20.20,-7.14,55.86,5.00,62.76,52.12
="聯詠(3034)",="台幣",="2024/10",6085.11,8522.70,-10.53,-4.43,860.48,-7.28,1104.29,1099.57
="揚智(3041)",="台幣",="2024/10",1951.22,137.39,-1.82,-1.95,13.70,19.84,14.40,26.51
="華晶科(3059)",="台幣",="2024/10",2788.00,646.79,-19.91,0.36,58.32,-22.91,90.99,140.28
="鈺寶-創(3150)",="台幣",="2024/10",443.98,20.98,32.09,-29.86,3.04,57.87,2.19,3.88
="鑫創(3259)",="台幣",="2024/10",569.66,26.20,76.14,-7.02,1.92,-18.53,2.76,4.03
="禾瑞亞(3556)",="台幣",="2024/10",637.03,79.28,23.10,16.83,8.15,-15.43,11.43,14.19
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="凌通(4952)",="台幣",="2024/10",1088.15,177.11,0.84,-2.34,21.69,17.56,21.67,31.69
="凌陽創新(5236)",="台幣",="2024/10",584.44,160.41,8.18,-13.12,14.81,9.36,16.50,15.42
="信驊(5274)",="台幣",="2024/10",378.21,685.78,111.88,-3.16,50.42,104.13,31.30,52.10
="太欣(5302)",="台幣",="2024/10",1598.88,1.01,10.13,-15.26,0.12,3.43,0.12,0.11
="松翰(5471)",="台幣",="2024/10",1678.77,217.38,-12.23,-1.82,22.45,4.56,26.10,33.54
="合邦(6103)",="台幣",="2024/10",136.05,5.64,322.40,-16.12,0.46,15.64,0.48,0.77
="普誠(6129)",="台幣",="2024/10",1809.44,79.98,-38.61,-19.78,9.41,-31.07,16.60,19.52
="茂達(6138)",="台幣",="2024/10",750.19,503.92,-2.97,-8.28,50.85,14.94,54.16,63.82
="驊訊(6237)",="台幣",="2024/10",796.45,56.66,83.28,30.98,3.52,1.55,4.18,7.26
="九齊(6494)",="台幣",="2024/10",315.60,95.21,-17.58,0.01,11.42,2.15,13.33,17.77
="鈺太(6679)",="台幣",="2024/10",549.75,177.89,-4.34,3.99,17.76,18.99,18.40,21.46
="安格(6684)",="台幣",="2024/10",446.25,33.39,-14.93,1.00,3.17,17.16,3.58,4.15
="芯鼎(6695)",="台幣",="2024/10",863.18,93.40,3.58,-0.12,8.03,-13.14,11.01,10.93
="佑華(8024)",="台幣",="2024/10",451.60,11.64,-5.14,-31.00,1.89,-5.76,2.39,4.46
="安國(8054)",="台幣",="2024/10",977.73,158.78,8.36,7.70,16.58,13.88,19.90,16.06
