同業比較-專業晶圓代工-營收分析-昇陽半導體(8028)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="聯電(2303)",="台幣",="2024/10",125284.66,21371.11,11.36,12.82,1932.88,3.49,2225.33,2787.05
="台積電(2330)",="台幣",="2024/10",259327.33,314239.71,29.21,24.76,23400.86,31.51,21617.36,22638.91
="茂矽(2342)",="台幣",="2024/10",1574.51,179.87,53.66,2.57,15.32,19.02,14.83,21.52
="漢磊(3707)",="台幣",="2024/10",3332.23,478.56,-8.67,-0.63,49.00,-18.26,70.80,88.80
="新唐(4919)",="台幣",="2024/10",4197.65,2310.48,-19.38,-14.69,269.63,-9.35,353.48,418.72
="世界(5347)",="台幣",="2024/10",18389.82,3792.75,16.96,-17.81,362.95,13.99,382.73,516.94
="元隆(6287)",="台幣",="2024/10",1095.36,77.60,-5.84,5.46,8.20,-0.64,9.88,17.88
="力積電(6770)",="台幣",="2024/10",41485.46,3913.89,1.74,0.35,375.08,2.18,440.23,760.87
="采鈺(6789)",="台幣",="2024/10",3170.20,904.87,64.19,0.27,82.18,39.10,72.37,90.77
="昇陽半導體(8028)",="台幣",="2024/10",1726.28,344.68,26.57,10.22,28.46,0.00,33.28,31.38
