同業比較-流通業-營收分析-寶雅(5904)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="台榮(1220)",="台幣",="2024/10",1770.77,356.48,23.33,30.48,27.71,4.81,32.96,35.39
="黑松(1234)",="台幣",="2024/10",4018.71,750.04,-21.94,-20.55,87.26,-2.23,105.81,95.59
="德麥(1264)",="台幣",="2024/10",370.64,519.13,13.20,-13.02,54.08,15.89,57.80,53.00
="大魯閣(1432)",="台幣",="2024/10",900.00,94.62,-15.44,-3.50,10.60,-5.17,13.18,11.04
="立益物流(1443)",="台幣",="2024/10",1353.43,87.22,28.27,2.90,7.58,18.77,7.81,8.47
="恩德(1528)",="台幣",="2024/10",1913.31,399.41,9.39,16.59,31.09,-1.91,38.87,38.15
="興農(1712)",="台幣",="2024/10",4204.92,1604.82,6.40,3.32,161.74,0.44,191.13,230.43
="泰茂(2230)",="台幣",="2024/10",544.67,266.05,299.54,48.19,12.93,160.76,6.58,5.09
="日勝生(2547)",="台幣",="2024/10",9550.94,518.19,4.57,-0.10,54.82,3.78,74.68,58.48
="益航(2601)",="台幣",="2024/10",8247.76,438.02,-11.20,23.69,40.38,-12.16,55.03,63.67
="志信(2611)",="台幣",="2024/10",1890.02,54.27,8.23,-2.10,5.57,11.49,6.17,7.30
="欣欣(2901)",="台幣",="2024/10",730.43,10.91,-5.70,-0.14,1.12,1.74,1.33,1.13
="遠百(2903)",="台幣",="2024/10",14169.40,3480.68,-3.98,35.15,278.41,-5.34,367.15,358.64
="高林(2906)",="台幣",="2024/10",2091.16,739.70,5.19,34.55,73.17,12.66,79.89,89.28
="特力(2908)",="台幣",="2024/10",5098.87,2798.04,6.60,-9.32,306.01,3.15,354.74,374.11
="統領(2910)",="台幣",="2024/10",1754.03,39.86,-2.03,-16.35,4.98,7.67,6.84,7.12
="統一超(2912)",="台幣",="2024/10",10396.22,28620.79,6.23,-0.35,2804.14,6.81,3169.35,2902.42
="農林(2913)",="台幣",="2024/10",7067.50,41.19,35.84,3.30,3.50,9.40,3.80,3.77
="潤泰全(2915)",="台幣",="2024/10",11043.18,204.62,10.71,-8.99,22.54,-1.68,26.81,28.74
="誠品生活(2926)",="台幣",="2024/10",473.90,585.28,-8.02,6.33,55.26,4.51,66.43,55.85
="永邑-KY(2939)",="台幣",="2024/10",455.48,35.12,2.86,47.96,2.24,-32.24,4.04,8.35
="三商家購(2945)",="台幣",="2024/10",675.00,1293.38,7.88,4.45,118.93,1.53,140.42,141.84
="振宇五金(2947)",="台幣",="2024/10",192.69,186.38,7.68,1.49,17.85,10.03,19.68,18.42
="寶陞(2948)",="台幣",="2024/10",300.00,186.37,2.01,6.78,17.54,-5.31,21.86,22.72
="佰研(3205)",="台幣",="2024/10",325.46,35.21,2.72,-9.15,3.85,4.28,4.40,5.29
="中美實(4702)",="台幣",="2024/10",723.33,18.15,-17.06,113.67,1.55,-66.84,5.13,10.31
="德記(5902)",="台幣",="2024/10",945.00,182.56,14.94,-6.04,18.96,3.10,21.10,21.93
="全家(5903)",="台幣",="2024/10",2232.20,9086.95,5.45,1.21,875.36,5.79,996.10,907.40
="寶雅(5904)",="台幣",="2024/10",1049.36,1897.54,-0.62,-7.35,195.24,6.38,220.79,194.76
="大洋-KY(5907)",="台幣",="2024/10",1955.31,304.36,-14.91,30.93,27.03,-14.71,38.20,41.93
="詩肯(6195)",="台幣",="2024/10",501.93,196.48,-3.45,4.41,18.52,-3.84,23.56,24.66
="佑全(6929)",="台幣",="2024/10",442.70,263.50,-3.60,-2.61,27.18,5.19,31.23,33.03
="弘帆(8433)",="台幣",="2024/10",540.70,290.69,-7.86,-3.79,29.33,6.75,34.65,31.41
="夠麻吉(8472)",="台幣",="2024/10",177.36,22.37,-32.34,-16.76,2.75,-9.82,3.89,3.32
="台火(9902)",="台幣",="2024/10",980.49,12.86,-33.77,436.97,1.85,50.30,2.92,1.72
="昶虹(2443)",="台幣",="2024/10",1509.09,0.86,28.27,-1.93,0.17,98.32,0.22,0.25
