同業比較-筆記型電腦製造-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="精英(2331)",="台幣",="2024/10",5574.02,1234.60,-2.32,-15.41,144.22,-13.52,197.42,313.47
="英業達(2356)",="台幣",="2024/10",35874.75,64685.08,60.10,14.99,5131.65,20.16,5147.45,5417.48
="藍天(2362)",="台幣",="2024/10",6322.63,2759.61,11.05,12.72,220.01,9.38,243.76,221.94
="廣達(2382)",="台幣",="2024/10",38626.27,135893.23,48.69,-12.39,11293.36,27.02,10856.11,12815.41
="茂訊(3213)",="台幣",="2024/10",586.86,184.01,-19.07,-18.25,23.93,-3.04,29.89,27.08
="緯創(3231)",="台幣",="2024/10",28967.67,96284.82,22.81,-0.64,8483.59,18.58,8665.83,9843.98
="和碩(4938)",="台幣",="2024/10",26637.76,118801.10,-16.46,8.73,9171.46,-13.22,12566.99,13175.99
