同業比較-通訊設備-營收分析-仁寶(2324)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="光寶科(2301)",="台幣",="2024/10",23472.49,12396.25,1.29,4.61,1112.24,-10.06,1483.36,1734.75
="台達電(2308)",="台幣",="2024/10",25975.43,38816.85,11.94,4.64,3457.62,2.94,4012.27,3844.43
="金寶(2312)",="台幣",="2024/10",15019.88,16698.94,10.51,-9.95,1358.10,1.81,1597.89,1818.31
="台揚(2314)",="台幣",="2024/10",2520.28,109.78,-41.95,0.84,13.95,-55.04,33.54,44.82
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="東訊(2321)",="台幣",="2024/10",142.71,55.93,-20.50,9.86,5.21,-19.95,8.04,10.11
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="友訊(2332)",="台幣",="2024/10",6024.51,1116.22,-13.50,-11.27,120.80,-10.66,159.29,170.78
="智邦(2345)",="台幣",="2024/10",5605.78,10882.61,51.60,8.31,823.35,18.62,841.88,772.05
="佳世達(2352)",="台幣",="2024/10",19667.81,18007.19,5.63,1.93,1655.77,-2.59,2038.99,2398.37
="仲琦(2419)",="台幣",="2024/10",3213.17,832.12,127.89,6.72,73.41,-2.90,94.04,123.18
="兆勁(2444)",="台幣",="2024/10",1015.69,158.07,-18.46,38.85,11.56,-24.49,18.22,18.45
="兆赫(2485)",="台幣",="2024/10",3176.89,92.26,-80.09,1.55,23.24,-53.71,58.17,65.82
="星通(3025)",="台幣",="2024/10",567.36,43.32,26.13,-51.40,5.28,21.50,6.49,4.37
="盛達(3027)",="台幣",="2024/10",1005.32,161.06,-2.96,-0.15,16.64,8.73,18.29,12.11
="訊舟(3047)",="台幣",="2024/10",2234.71,635.28,69.09,3.56,58.57,61.49,42.55,59.35
="建漢(3062)",="台幣",="2024/10",3304.45,230.24,-45.03,-18.13,27.11,-15.98,38.06,57.55
="耀登(3138)",="台幣",="2024/10",503.24,138.56,-17.60,-12.35,13.96,-2.77,17.80,17.37
="璟德(3152)",="台幣",="2024/10",690.16,152.33,10.49,6.46,13.88,14.52,14.88,14.65
="鼎天(3306)",="台幣",="2024/10",506.08,95.38,-31.23,2.67,8.11,-19.79,12.91,12.19
="明泰(3380)",="台幣",="2024/10",5417.18,1770.17,12.58,-7.30,175.86,-23.70,282.63,336.34
="譁裕(3419)",="台幣",="2024/10",1204.80,125.95,11.18,1.61,12.09,0.92,14.01,19.81
="展達(3447)",="台幣",="2024/10",770.84,326.28,109.45,2.76,20.24,-21.48,28.69,60.06
="昇達科(3491)",="台幣",="2024/10",638.36,188.89,68.53,-11.64,19.10,48.15,15.85,18.38
="環天科(3499)",="台幣",="2024/10",549.71,43.44,47.83,63.11,3.31,30.58,3.61,3.28
="神準(3558)",="台幣",="2024/10",590.61,1194.36,-13.15,18.66,95.22,-33.05,166.09,163.22
="其陽(3564)",="台幣",="2024/10",591.23,210.82,14.26,-1.43,17.92,13.54,19.69,24.63
="智易(3596)",="台幣",="2024/10",2203.54,4017.88,-16.07,-1.05,408.98,-2.20,511.58,471.68
="安瑞-KY(3664)",="台幣",="2024/10",573.48,10.80,-43.95,-90.57,4.60,18.55,6.24,4.65
="榮昌(3684)",="台幣",="2024/10",300.02,85.64,48.64,10.46,7.53,8.27,8.08,11.31
="海華(3694)",="台幣",="2024/10",1525.54,696.19,-4.25,-16.88,76.80,-4.07,95.31,100.37
