同業比較-配電工程-營收分析-東元(1504)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="東元(1504)",="台幣",="2024/10",21387.96,4243.66,-9.02,-2.86,459.76,-7.48,594.31,582.09
="中興電(1513)",="台幣",="2024/10",5031.12,2323.72,15.86,10.38,209.83,14.63,221.45,185.53
="亞力(1514)",="台幣",="2024/10",2675.35,715.81,-23.73,2.81,69.37,-1.41,94.57,76.80
="樂事綠能(1529)",="台幣",="2024/10",1550.95,87.70,14.47,13.80,5.93,-2.41,7.52,2.82
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="翔耀(2438)",="台幣",="2024/10",601.95,37.09,392.13,9.02,2.90,175.69,1.18,2.10
="中工(2515)",="台幣",="2024/10",15308.99,1909.36,22.48,-12.68,183.96,19.68,189.59,150.93
="盈正(3628)",="台幣",="2024/10",450.00,278.36,14.05,13.86,23.47,5.75,29.25,30.58
="長佳(4550)",="台幣",="2024/10",378.39,82.77,-46.12,29.20,10.59,-30.53,19.09,13.55
="擎邦(6122)",="台幣",="2024/10",780.92,308.92,-56.34,-20.09,33.81,-22.66,53.14,24.59
="森崴能源(6806)",="台幣",="2024/10",2208.49,3011.45,123.15,216.41,129.34,76.42,112.50,43.01
