同業比較-電子通路-營收分析-大同(2371)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="川飛(1516)",="台幣",="2024/10",388.20,0.00,-100.00,-100.00,5.94,-18.64,8.53,15.02
="東訊(2321)",="台幣",="2024/10",142.71,55.93,-20.50,9.86,5.21,-19.95,8.04,10.11
="聯強(2347)",="台幣",="2024/10",16679.46,35916.03,7.59,-6.98,3486.79,10.63,3952.05,4245.50
="所羅門(2359)",="台幣",="2024/10",1714.71,312.05,-3.33,-6.71,28.16,-18.89,41.89,52.32
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="正崴(2392)",="台幣",="2024/10",5123.26,12029.84,22.95,51.94,775.82,9.46,908.53,941.03
="精技(2414)",="台幣",="2024/10",1617.35,2440.03,23.91,12.44,198.33,1.15,231.20,250.71
="燦坤(2430)",="台幣",="2024/10",1168.00,1565.29,-1.81,-3.24,159.37,-5.44,199.85,222.91
="偉詮電(2436)",="台幣",="2024/10",1780.11,279.50,-3.20,-3.80,25.38,6.62,28.86,28.88
="神腦(2450)",="台幣",="2024/10",2582.52,3353.95,9.28,21.44,267.19,2.85,312.69,311.59
="敦吉(2459)",="台幣",="2024/10",1055.95,408.91,-39.09,-3.89,43.53,-29.86,74.20,78.53
="揚博(2493)",="台幣",="2024/10",1144.37,298.27,8.58,-13.25,30.32,9.92,33.59,34.52
="華立(3010)",="台幣",="2024/10",2594.36,6611.89,8.47,-3.01,664.30,19.35,667.82,735.70
="禾伸堂(3026)",="台幣",="2024/10",1658.90,1080.05,4.77,-2.53,106.73,-5.94,132.48,150.71
="增你強(3028)",="台幣",="2024/10",2346.11,2866.82,2.43,-13.59,306.15,13.04,325.57,399.97
="威健(3033)",="台幣",="2024/10",4283.88,7342.66,35.97,-19.72,723.34,24.50,708.92,702.81
="文曄(3036)",="台幣",="2024/10",11161.10,98597.07,45.78,16.66,7961.51,68.51,5945.19,5711.97
="益登(3048)",="台幣",="2024/10",2448.29,12074.15,0.31,6.99,920.66,5.60,1071.95,1187.07
="日電貿(3090)",="台幣",="2024/10",1826.57,1146.64,25.15,7.89,101.34,13.68,106.56,108.31
="好德(3114)",="台幣",="2024/10",651.30,229.55,4.91,1.83,22.43,-2.52,27.49,32.56
="大綜(3147)",="台幣",="2024/10",390.06,521.99,19.30,19.94,38.93,18.31,39.89,34.67
="全科(3209)",="台幣",="2024/10",2324.77,4503.72,-30.88,48.55,403.37,-18.66,560.81,604.28
="茂訊(3213)",="台幣",="2024/10",586.86,184.01,-19.07,-18.25,23.93,-3.04,29.89,27.08
="三顧(3224)",="台幣",="2024/10",681.73,109.75,-6.03,-14.03,11.86,-6.72,14.45,18.41
="昱捷(3232)",="台幣",="2024/10",465.68,126.08,-12.38,-10.21,13.65,9.19,15.09,14.18
="弘憶股(3312)",="台幣",="2024/10",1626.25,1448.77,-1.79,-6.19,147.74,16.44,152.77,193.47
="尚立(3360)",="台幣",="2024/10",764.02,685.17,69.79,9.74,52.20,-18.83,72.75,101.01
="台興(3426)",="台幣",="2024/10",264.00,62.98,-1.77,-11.16,6.38,21.03,6.35,7.17
="利機(3444)",="台幣",="2024/10",449.97,98.39,18.17,3.13,9.42,15.82,9.76,10.60
="安馳(3528)",="台幣",="2024/10",666.25,451.31,-3.21,0.29,43.98,-21.53,62.96,64.07
="堡達(3537)",="台幣",="2024/10",562.43,264.15,5.68,2.40,24.16,0.93,28.34,28.08
="映興(3597)",="台幣",="2024/10",392.36,79.29,103.14,8.32,5.74,10.16,6.11,10.46
="達能(3686)",="台幣",="2024/10",764.95,8.60,90.97,60.71,0.70,159.36,0.41,0.44
="大聯大(3702)",="台幣",="2024/10",16790.56,74834.65,19.42,-29.18,7237.80,31.25,6721.83,7752.32
="鑫聯大投控(3709)",="台幣",="2024/10",1005.69,2685.62,26.33,-0.67,223.14,24.38,212.93,203.82
="永崴投控(3712)",="台幣",="2024/10",2462.42,3985.70,101.40,126.17,190.83,55.87,174.36,121.02
="陞達科技(4945)",="台幣",="2024/10",300.22,40.68,-5.77,-15.93,3.77,9.31,4.22,5.16
="青雲(5386)",="台幣",="2024/10",312.11,431.81,75.68,-42.57,34.27,104.92,19.74,31.21
="崇越(5434)",="台幣",="2024/10",1887.00,5238.15,20.61,-1.43,463.28,11.95,492.73,529.78
="佶優(5452)",="台幣",="2024/10",1487.64,435.79,-4.00,-4.25,46.64,2.90,54.10,63.19
="亞矽(6113)",="台幣",="2024/10",525.49,52.42,-48.75,-12.64,6.06,-42.04,12.64,22.20
="久威(6114)",="台幣",="2024/10",439.12,86.89,-27.92,0.91,8.04,-31.94,14.14,16.16
="建達(6118)",="台幣",="2024/10",908.90,784.19,-3.24,-0.66,74.31,5.60,84.30,97.02
="上奇(6123)",="台幣",="2024/10",620.89,438.62,-8.74,-21.43,46.46,5.51,52.10,52.87
="富爾特(6136)",="台幣",="2024/10",1155.36,43.06,-1.90,29.54,4.04,-5.15,5.06,5.00
="驊宏資(6148)",="台幣",="2024/10",466.04,28.75,-65.45,-78.69,5.60,-24.60,8.85,5.04
="順發(6154)",="台幣",="2024/10",800.80,297.95,1.34,-13.64,31.19,-1.12,37.27,43.79
