同業比較-電線電纜-營收分析-大同(2371)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="華電(1603)",="台幣",="2024/10",1916.88,397.19,10.28,27.08,37.39,9.71,40.12,34.67
="華新(1605)",="台幣",="2024/10",40313.32,14774.90,-2.95,1.87,1473.79,-8.88,1901.09,1796.08
="華榮(1608)",="台幣",="2024/10",6327.73,861.99,15.25,-4.58,95.17,19.93,97.55,107.50
="大亞(1609)",="台幣",="2024/10",7736.57,2501.91,17.52,3.56,246.67,15.11,265.11,268.55
="宏泰(1612)",="台幣",="2024/10",3160.80,583.71,23.38,22.67,54.07,9.86,61.95,63.86
="大山(1615)",="台幣",="2024/10",1872.98,499.36,16.21,3.72,49.04,24.77,49.45,44.33
="億泰(1616)",="台幣",="2024/10",1941.48,417.50,14.36,-14.37,37.68,15.33,41.13,37.24
="榮星(1617)",="台幣",="2024/10",1680.74,292.38,26.39,1.08,28.08,19.60,28.27,35.80
="合機(1618)",="台幣",="2024/10",1926.91,220.16,15.70,-20.46,35.42,5.08,44.83,28.64
="風青(2061)",="台幣",="2024/10",573.78,106.46,65.54,17.10,9.53,32.88,8.87,9.27
="大同(2371)",="台幣",="2024/10",23395.36,3531.07,0.90,-10.05,391.43,-0.42,503.51,345.39
="太空梭(2440)",="台幣",="2024/10",1391.17,331.13,29.34,7.85,31.98,34.43,29.55,31.24
="洋華(3622)",="台幣",="2024/10",1513.27,118.67,42.03,-7.24,14.14,8.97,16.39,15.46
="貿聯-KY(3665)",="台幣",="2024/10",1730.34,4911.15,9.46,7.01,445.26,2.90,509.03,536.62
="台通(8011)",="台幣",="2024/10",1659.21,148.46,-27.85,-7.68,21.52,37.96,20.40,17.00
="明輝-DR(911608)",="台幣",="N/A",="--",="--",="--",="--",="--",="--",="--",="--"
