同業比較-電腦通路商-營收分析-聯強(2347)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="聯強(2347)",="台幣",="2024/10",16679.46,35916.03,7.59,-6.98,3486.79,10.63,3952.05,4245.50
="精技(2414)",="台幣",="2024/10",1617.35,2440.03,23.91,12.44,198.33,1.15,231.20,250.71
="大綜(3147)",="台幣",="2024/10",390.06,521.99,19.30,19.94,38.93,18.31,39.89,34.67
="茂訊(3213)",="台幣",="2024/10",586.86,184.01,-19.07,-18.25,23.93,-3.04,29.89,27.08
="鑫聯大投控(3709)",="台幣",="2024/10",1005.69,2685.62,26.33,-0.67,223.14,24.38,212.93,203.82
="青雲(5386)",="台幣",="2024/10",312.11,431.81,75.68,-42.57,34.27,104.92,19.74,31.21
="建達(6118)",="台幣",="2024/10",908.90,784.19,-3.24,-0.66,74.31,5.60,84.30,97.02
="驊宏資(6148)",="台幣",="2024/10",466.04,28.75,-65.45,-78.69,5.60,-24.60,8.85,5.04
="展碁國際(6776)",="台幣",="2024/10",815.81,2532.50,22.66,6.93,206.51,9.49,227.91,232.82
="志旭(8067)",="台幣",="2024/10",207.00,8.93,30.77,-18.29,0.90,1.96,1.06,1.45
