同業比較-非酒精飲料-營收分析-味全(1201)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="味全(1201)",="台幣",="2024/10",5060.62,2045.87,7.97,-4.17,197.92,10.66,214.76,199.84
="味王(1203)",="台幣",="2024/10",2400.00,537.49,6.57,14.90,50.56,-3.20,63.48,63.79
="大飲(1213)",="台幣",="2024/10",566.22,18.76,4555.09,1.80,1.58,42.94,1.21,3.93
="統一(1216)",="台幣",="2024/10",56820.15,54649.45,9.73,-5.54,5544.49,14.64,5809.91,5246.49
="愛之味(1217)",="台幣",="2024/10",4945.13,360.15,11.17,-26.09,44.22,3.32,49.01,48.01
="泰山(1218)",="台幣",="2024/10",4999.99,833.40,-6.74,-15.44,91.11,-3.88,112.11,111.30
="黑松(1234)",="台幣",="2024/10",4018.71,750.04,-21.94,-20.55,87.26,-2.23,105.81,95.59
="鮮活果汁-KY(1256)",="台幣",="2024/10",338.42,205.95,-7.47,-52.38,35.76,-13.36,46.30,41.05
="臺鹽(1737)",="台幣",="2024/10",2000.00,266.24,0.47,-6.54,27.22,-6.46,34.04,36.14
="博士旺(3555)",="台幣",="2024/10",299.99,4.04,-68.71,-35.83,0.47,73.63,0.65,0.23
="德記(5902)",="台幣",="2024/10",945.00,182.56,14.94,-6.04,18.96,3.10,21.10,21.93
="康師傅-DR(910322)",="台幣",="N/A",="--",="--",="--",="--",="--",="--",="--",="--"
