同業比較-顯示器-營收分析-威盛(2388)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="聲寶(1604)",="台幣",="2024/10",3842.00,696.35,2.94,6.38,78.75,3.75,88.89,89.36
="台達電(2308)",="台幣",="2024/10",25975.43,38816.85,11.94,4.64,3457.62,2.94,4012.27,3844.43
="鴻海(2317)",="台幣",="2024/10",138629.90,804847.65,8.59,9.80,55324.77,9.57,61595.71,66219.42
="仁寶(2324)",="台幣",="2024/10",44071.46,85452.29,-2.33,2.01,7665.50,-3.28,9467.15,10732.47
="佳世達(2352)",="台幣",="2024/10",19667.81,18007.19,5.63,1.93,1655.77,-2.59,2038.99,2398.37
="宏碁(2353)",="台幣",="2024/10",30478.53,18819.70,-2.75,-28.47,2174.06,10.07,2413.21,2754.24
="威盛(2388)",="台幣",="2024/10",5550.59,1634.88,59.71,-38.29,120.43,27.34,126.47,92.97
="瑞軒(2489)",="台幣",="2024/10",6800.00,1881.90,14.18,-23.55,195.35,42.04,165.72,163.77
="建碁(3046)",="台幣",="2024/10",784.48,405.85,4.48,-28.10,61.78,29.40,56.67,33.30
="艾訊(3088)",="台幣",="2024/10",1022.53,626.64,10.85,-14.35,55.67,-1.36,67.00,66.19
="融程電(3416)",="台幣",="2024/10",797.46,309.59,66.30,50.02,25.34,16.24,25.99,26.59
="哲固(3434)",="台幣",="2024/10",280.28,50.22,42.43,-14.64,5.97,11.91,6.28,7.65
="揚明光(3504)",="台幣",="2024/10",1140.59,213.47,-2.54,-9.86,21.06,-16.19,30.10,46.84
="鈺緯(4153)",="台幣",="2024/10",600.91,66.79,4.10,2.84,7.06,-6.28,8.94,9.49
="晶達(4995)",="台幣",="2024/10",422.86,112.62,-2.07,-16.09,11.65,15.61,12.19,13.67
="禾聯碩(5283)",="台幣",="2024/10",730.00,472.49,22.45,-6.27,54.46,4.58,61.92,68.40
="中光電(5371)",="台幣",="2024/10",3909.81,2993.22,-7.90,-12.86,327.75,-0.24,394.92,497.83
="豐藝(6189)",="台幣",="2024/10",2175.27,2932.29,15.13,0.08,327.83,33.42,295.17,280.73
="勁豐(6577)",="台幣",="2024/10",600.60,221.44,-6.25,9.06,19.27,-12.68,25.28,18.86
="偉聯(9912)",="台幣",="2024/10",546.56,42.32,0.00,10.47,4.25,-0.37,5.11,5.94
