同業比較-食品加工-營收分析-味全(1201)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="味全(1201)",="台幣",="2024/10",5060.62,2045.87,7.97,-4.17,197.92,10.66,214.76,199.84
="味王(1203)",="台幣",="2024/10",2400.00,537.49,6.57,14.90,50.56,-3.20,63.48,63.79
="大成(1210)",="台幣",="2024/10",8947.67,8604.25,-4.32,-0.12,854.39,-7.28,1107.88,1131.29
="卜蜂(1215)",="台幣",="2024/10",2947.90,2457.73,3.16,8.10,230.89,-5.11,291.60,289.59
="統一(1216)",="台幣",="2024/10",56820.15,54649.45,9.73,-5.54,5544.49,14.64,5809.91,5246.49
="愛之味(1217)",="台幣",="2024/10",4945.13,360.15,11.17,-26.09,44.22,3.32,49.01,48.01
="福壽(1219)",="台幣",="2024/10",3416.02,1233.04,-3.73,5.22,118.06,-13.70,163.28,170.29
="台榮(1220)",="台幣",="2024/10",1770.77,356.48,23.33,30.48,27.71,4.81,32.96,35.39
="佳格(1227)",="台幣",="2024/10",9150.89,2080.18,2.60,-28.15,228.67,3.21,278.04,289.23
="聯華食(1231)",="台幣",="2024/10",2713.22,1048.39,19.89,13.85,97.88,10.43,108.53,107.73
="大統益(1232)",="台幣",="2024/10",1599.74,1858.53,-3.32,6.66,182.35,-7.11,235.60,246.77
="天仁(1233)",="台幣",="2024/10",905.91,161.32,-8.23,-12.19,18.12,3.77,21.27,18.48
="宏亞(1236)",="台幣",="2024/10",866.74,133.51,6.46,-26.82,15.54,0.49,19.30,21.09
="德麥(1264)",="台幣",="2024/10",370.64,519.13,13.20,-13.02,54.08,15.89,57.80,53.00
="南僑(1702)",="台幣",="2024/10",2941.32,1981.59,9.55,-5.59,194.18,4.35,226.78,204.78
="葡萄王(1707)",="台幣",="2024/10",1481.37,879.11,7.02,-28.67,88.84,7.60,106.35,103.91
="台蠟(1742)",="台幣",="2024/10",935.59,18.69,-31.47,3.83,2.04,-36.01,3.94,4.82
="美食-KY(2723)",="台幣",="2024/10",1800.00,1576.93,-3.44,-2.58,156.40,-8.13,203.97,195.13
="農林(2913)",="台幣",="2024/10",7067.50,41.19,35.84,3.30,3.50,9.40,3.80,3.77
="佰研(3205)",="台幣",="2024/10",325.46,35.21,2.72,-9.15,3.85,4.28,4.40,5.29
="博士旺(3555)",="台幣",="2024/10",299.99,4.04,-68.71,-35.83,0.47,73.63,0.65,0.23
="中華食(4205)",="台幣",="2024/10",887.72,186.19,10.94,13.33,16.65,3.36,19.54,18.42
="環泰(4207)",="台幣",="2024/10",1985.38,473.50,3.48,10.18,47.63,7.25,53.46,50.41
="統振(6170)",="台幣",="2024/10",996.70,265.48,30.45,3.42,23.97,29.73,22.63,24.76
="大武山(6952)",="台幣",="2024/10",683.45,102.81,-4.79,8.39,10.28,14.88,11.49,11.92
="萬達寵物(6968)",="台幣",="2024/10",436.30,236.50,6.42,2.35,23.51,12.39,25.44,20.16
="大江(8436)",="台幣",="2024/10",1182.61,670.40,0.09,2.94,59.64,-11.24,80.16,74.33
="裕國(8905)",="台幣",="2024/10",1194.40,152.23,-27.54,-9.80,16.57,-33.17,28.16,22.59
="康師傅-DR(910322)",="台幣",="N/A",="--",="--",="--",="--",="--",="--",="--",="--"
