同業比較-高速傳輸介面IC-營收分析-威盛(2388)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="威盛(2388)",="台幣",="2024/10",5550.59,1634.88,59.71,-38.29,120.43,27.34,126.47,92.97
="聯陽(3014)",="台幣",="2024/10",1660.35,592.93,20.20,-7.14,55.86,5.00,62.76,52.12
="譜瑞-KY(4966)",="台幣",="2024/10",811.61,1312.55,15.92,-12.24,134.38,21.24,137.70,200.52
="祥碩(5269)",="台幣",="2024/10",746.62,622.81,4.17,18.05,68.04,28.67,64.01,52.48
="鈺創(5351)",="台幣",="2024/10",3255.96,220.04,-0.29,-7.13,30.14,37.95,26.62,46.85
="創惟(6104)",="台幣",="2024/10",906.80,324.01,38.02,4.64,25.57,24.70,25.16,32.44
="旺玖(6233)",="台幣",="2024/10",802.20,34.93,19.68,-7.61,3.45,14.48,3.61,4.38
="安格(6684)",="台幣",="2024/10",446.25,33.39,-14.93,1.00,3.17,17.16,3.58,4.15
="威鋒電子(6756)",="台幣",="2024/10",695.74,119.52,-29.49,-15.43,14.53,-14.18,20.35,29.55
="安國(8054)",="台幣",="2024/10",977.73,158.78,8.36,7.70,16.58,13.88,19.90,16.06
="群聯(8299)",="台幣",="2024/10",2047.82,3717.03,-27.95,-16.11,500.80,33.08,482.22,602.56
